,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,model,explainer
0,0.08868706488165821,0.02146150860125609,0.025056736059050302,0.8443290725782201,0.3829322909008162,0.025279263887101285,0.02253870759698925,0.30081014995500804,0.15644498162154508,0.07160727566221725,0.0,0.19454547217066764,0.48086083798580476,0.26785693327340687,0.7110445669015153,0.14809635505633337,lr,shap
1,0.08030454457148259,0.010877331412477518,0.015815953966350903,1.1351666025158078,0.047328710111336866,0.023144190923663675,0.20284836837290332,0.12924039519029681,0.15644498162154508,0.1358767445504863,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.6556377617150905,0.4485811166131087,lr,shap
2,0.08030454457148259,0.0013053475357548353,0.014038880486985629,0.8034092653411342,0.06023654014170142,0.025279263887101285,0.02253870759698925,0.1810126446919014,0.15644498162154508,0.07160727566221725,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.6556377617150905,0.14809635505633337,lr,shap
3,0.02866821946080067,0.007895225121789362,0.01937010092508144,0.2100720604033895,1.1358890426720842,0.025279263887101285,0.02253870759698925,0.12924039519029681,0.15644498162154508,0.1358767445504863,0.0,0.15285715670552455,0.13562741584215005,0.6398044996212181,0.4231206569955687,0.14809635505633337,lr,shap
4,0.07896334132185448,0.0029626234916470414,0.01937010092508144,0.28096562644164075,0.047328710111336866,0.025279263887101285,0.02253870759698925,0.25066049668870427,0.13600034133618882,0.07160727566221725,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.4117696991336192,0.14809635505633337,lr,shap
5,0.0119031788404494,0.012130616217684355,0.0019547808273017962,0.8443290725782201,0.047328710111336866,0.23448794666447437,0.022538707596989258,0.25066049668870427,0.15644498162154508,0.07160727566221725,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.7908757126724826,0.8191616944766185,lr,shap
6,0.004861861779901869,0.025401464878246648,0.0015993661314287427,0.2919116748775612,0.15489396036437514,0.025279263887101285,0.02253870759698925,0.25066049668870427,0.15644498162154508,0.07160727566221725,0.0,0.15285715670552455,0.13562741584215005,0.26785693327340687,0.6185330155642939,0.14809635505633337,lr,shap
7,0.07896334132185448,0.005549470053293675,0.0019547808273017962,0.22470089149064762,0.15489396036437514,0.18680465048103448,0.06761612279096778,0.25066049668870427,0.12347396610196706,0.07160727566221725,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.7908757126724826,0.4485811166131087,lr,shap
8,0.07896334132185448,0.004936967340964245,0.01759302744571617,1.1000778678100067,0.06023654014170142,0.025279263887101285,0.02253870759698925,0.1810126446919014,0.13600034133618882,0.1358767445504863,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.4117696991336192,0.14809635505633337,lr,shap
9,0.02866821946080067,0.007895225121789362,0.005153513090159282,0.8136392171504057,0.1678017903947397,0.0515833627966526,0.06761612279096778,0.12924039519029681,0.15644498162154508,0.1358767445504863,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,1.1055021812485495,0.8191616944766185,lr,shap
10,0.05381578039132756,0.0065855118752126025,0.014394295182858683,0.15892230135703217,0.047328710111336866,0.025279263887101285,0.02253870759698925,0.1810126446919014,0.13600034133618882,0.07160727566221725,0.0,0.19454547217066764,0.13562741584215005,0.26785693327340687,0.7110445669015153,0.14809635505633337,lr,shap
