,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
0,0.24442018568515778,0.11648422479629517,0.8108168244361877,0.14313669502735138,0.09547562152147293,0.1621055155992508,0.1744745969772339,0.03767981380224228,0.15374591946601868,0.07336648553609848,0.3981725573539734,0.3256240487098694,0.09311382472515106,0.08982546627521515
1,0.1039845198392868,0.07634717226028442,0.05842302739620209,0.10171135514974594,0.006947549991309643,0.08440113812685013,0.23208725452423096,0.04653193801641464,0.005170348100364208,0.018251433968544006,0.4875723719596863,0.15223047137260437,0.05694624036550522,0.02781645581126213
2,0.12066714465618134,0.004969821311533451,0.18544255197048187,0.10194003582000732,0.003976731561124325,0.23941925168037415,0.2902197539806366,0.12611481547355652,0.02904427982866764,0.12061868607997894,0.6165573596954346,0.2727527618408203,0.0635521337389946,0.07496440410614014
3,0.07003547251224518,0.002064957981929183,0.09139259904623032,0.2684881389141083,0.0634051188826561,0.20795081555843353,0.019434552639722824,0.037047337740659714,0.018031086772680283,0.0661901980638504,0.6752910017967224,0.3040655255317688,0.09006853401660919,0.06483631581068039
4,0.06259410083293915,0.08551345020532608,0.06629998236894608,0.10619425773620605,0.00814996287226677,0.12069415301084518,0.10883478820323944,0.002415320836007595,0.023174460977315903,0.1366157978773117,0.5574309825897217,0.210003063082695,0.009578400291502476,0.09587430208921432
5,0.026341158896684647,0.05872529745101929,0.22407837212085724,0.11516012996435165,0.0025242422707378864,0.16404858231544495,0.33228248357772827,0.38379985094070435,0.08251769095659256,0.03776421770453453,0.6695786714553833,0.29733964800834656,0.047811612486839294,0.16558332741260529
6,0.00699807470664382,0.06417254358530045,0.9334889054298401,0.19115786254405975,0.08031829446554184,0.2667965590953827,0.3918166756629944,0.04916445165872574,0.10671448707580566,0.017897138372063637,0.6136153936386108,0.28056207299232483,0.07971233129501343,0.1263129711151123
7,0.1727982759475708,0.0060580759309232235,0.24281026422977448,0.08653280138969421,0.023700948804616928,0.06597238034009933,0.12766945362091064,0.21351459622383118,0.13847102224826813,0.10264242440462112,0.3299783170223236,0.11161154508590698,0.07852184027433395,0.10307815670967102
8,0.08416438102722168,0.02975965104997158,0.001305556041188538,0.06477540731430054,0.02570316754281521,0.14722803235054016,0.2286335527896881,0.050267625600099564,0.268993616104126,0.12362842261791229,0.6460891962051392,0.21120966970920563,0.036226753145456314,0.007595481351017952
9,0.04842817038297653,0.032228805124759674,0.0015379925025627017,0.08868542313575745,0.004979319870471954,0.09819860756397247,0.19450743496418,0.19176051020622253,0.0727367103099823,0.10010402649641037,0.3362569808959961,0.10514421761035919,0.08378095924854279,0.07661516219377518
