,preg,plas,pres,skin,insu,mass,pedi,age,model,explainer
0,0.1670413727753327,0.6805846517940367,0.13033934961659513,0.04427222529797199,0.16394348108907195,0.22898486979263616,0.014996637709184064,0.49997496000062625,lr,shap
1,0.10238019621713941,0.18458334387542588,0.07830179383746487,0.04086404783084559,0.1250375135015549,0.4072240083674906,0.1926878912381717,0.4515344794469324,lr,shap
2,0.10238019621713941,0.32629800328074327,0.05670129898575044,0.06819763111719936,0.1250375135015549,0.10652409693650101,0.18638678295700192,0.4515344794469324,lr,shap
3,0.3017521572715688,0.3617266681320726,0.13966683602983548,0.06819763111719936,0.1250375135015549,0.7565727199742044,0.25343057506864836,0.11072109840844321,lr,shap
4,0.23439676502345075,0.6657046125564784,0.26239692041457663,0.06819763111719936,0.1250375135015549,0.2008859938290711,0.15362101989491908,0.8027279634612132,lr,shap
5,0.1670413727753327,0.50344132753739,0.041482768522042524,0.04086404783084559,0.16394348108907195,0.6169171125732015,0.08178838548958366,1.0189801087902037,lr,shap
6,0.16973558846525744,1.637158602779929,0.25306943400133636,0.006850436708924072,0.00944511566530418,1.1969282388061973,0.08241849631770064,0.40828405038113424,lr,shap
7,0.23709098071337548,0.007440019618779156,0.8421738390480941,0.06819763111719936,0.1250375135015549,0.2080155593720648,0.3013189980055387,0.5432253890664245,lr,shap
8,0.032330588279096656,1.3034205798804066,0.041482768522042524,0.030639515429466375,0.06660251449012394,0.05410082088507332,0.07296683389594598,0.24047238560583759,lr,shap
9,0.0996859805272147,1.0554199259211012,0.11512081915288723,0.06819763111719936,0.1250375135015549,0.19753090416177985,0.14858013326998323,1.451484399448185,lr,shap
10,0.43646294176780487,0.22001200872675522,0.016936751645094287,0.023823160495213568,0.1250375135015549,0.45251771887592385,0.19709866703499054,0.370223672803232,lr,shap
11,0.23439676502345075,2.1891372011636405,0.32376196260694723,0.03745587036371918,0.1250375135015549,0.24995418021320753,0.18260611798830007,1.2352322541191945,lr,shap
12,0.032330588279096656,1.0908485907724306,0.1057933327396469,0.023823160495213568,0.358625414286968,0.0960394417262157,0.19142766958193774,0.10553104692054742,lr,shap
13,0.0996859805272147,0.7514419814966954,0.06602878539899076,0.006850436708924072,0.023133689093281243,0.18704624895149413,0.3422762018331421,0.49997496000062625,lr,shap
14,0.10238019621713941,1.0348713003073302,0.13033934961659513,0.020414983028087166,0.10070227185181792,0.3581558219833542,0.19672060053812035,0.40828405038113424,lr,shap
15,0.16973558846525744,0.2759892991918556,0.2285234171243881,0.06812946756785683,0.128961571217575,0.15559228332063707,0.3202223228490479,0.14878147598634553,lr,shap
16,0.035024803969021384,1.1765859597126476,0.041482768522042524,0.04086404783084559,0.1250375135015549,0.5644938365217738,0.11770470269225136,0.14878147598634553,lr,shap
17,0.0996859805272147,1.1057286300099887,0.00760926523185395,0.02723133796233997,0.01704987868084699,0.1694320281982144,0.05658395236490457,0.32178319224953805,lr,shap
18,0.032330588279096656,2.330851860568958,0.8421738390480941,0.06819763111719936,0.1250375135015549,0.3581558219833542,0.15236079823868512,0.19722195654003946,lr,shap
19,0.23709098071337548,0.8074192719617959,0.04442829054727631,0.020414983028087166,0.07268632490255819,1.1306652178771928,0.014366526881067087,0.32178319224953805,lr,shap
20,0.0996859805272147,0.4680126626860607,0.06602878539899076,0.06819763111719936,0.1250375135015549,0.3162172011422118,0.18953733709758683,0.716227105329617,lr,shap
21,0.16973558846525744,1.0348713003073302,0.11512081915288723,0.030639515429466375,0.00944511566530418,0.019291765586925382,0.055953841536787605,0.10553104692054742,lr,shap
22,0.638529118512159,0.39715533298340194,0.041482768522042524,0.11584395210762648,0.1250375135015549,0.5015859052600603,0.17378456639466236,0.5864758181322226,lr,shap
23,0.16973558846525744,0.7514419814966954,0.05670129898575044,0.023823160495213568,0.007285362968890007,0.14510762811035216,0.10384226447367789,0.4515344794469324,lr,shap
24,0.43646294176780487,0.41770395859717296,0.090574802275939,0.02723133796233997,0.06051870407768969,0.4281933187880612,0.10951326192673065,0.32697324373743386,lr,shap
25,0.23439676502345075,2.3662805254202866,0.18875886978373196,0.04427222529797199,0.1250375135015549,0.38625469794691925,0.06225494981795738,0.4134741018690301,lr,shap
26,0.1670413727753327,0.2908693384294139,0.1057933327396469,0.023823160495213568,0.1250375135015549,0.7146340991330623,0.156141463207387,0.19203190505214365,lr,shap
27,0.16973558846525744,0.6097273220913779,0.06602878539899076,0.0272995015116825,0.055073693758561054,1.291290135698767,0.19205778041005472,0.14878147598634553,lr,shap
28,0.10238019621713941,0.5388699923887194,0.21330488666068018,0.054496757699351216,0.05747679887147257,1.4347202189754733,0.20592021862862822,0.3650336213153362,lr,shap
