,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
0,0.2560574412345886,0.0,0.4233260452747345,0.41450634598731995,0.2788248360157013,0.4102557897567749,0.14619013667106628,0.33606526255607605,0.597373366355896,0.5039722919464111,0.6083104014396667,0.5493348240852356,0.6868544816970825,0.054858673363924026,0.588208019733429,0.311097115278244,0.42926716804504395,0.060707733035087585,0.5151405334472656,0.03318999707698822,0.22945424914360046,0.11556784808635712,0.27116596698760986,0.18374383449554443,0.366788774728775,0.09345366805791855,0.7764446139335632,0.05088268965482712,0.11080972105264664,0.13899078965187073,0.021266693249344826,0.015064123086631298,0.08743241429328918,0.11877211183309555
1,0.1849210262298584,0.0,0.15218320488929749,0.036255333572626114,0.1250256597995758,0.09680023044347763,0.10645677149295807,0.031004780903458595,0.3844866454601288,0.06754425913095474,0.04130562022328377,0.05003644898533821,0.11571957170963287,0.005374563857913017,0.20653466880321503,0.14264202117919922,0.07085215300321579,0.006389920134097338,0.1400766521692276,0.03562433272600174,0.27888500690460205,0.008086776360869408,0.046105898916721344,0.0014467015862464905,0.17218418419361115,0.02997126244008541,0.06214930862188339,0.01857256144285202,0.011031082831323147,0.022579966112971306,0.10069779306650162,0.011002409271895885,0.016877388581633568,0.00016853709530550987
2,0.19387303292751312,0.0,0.3106713593006134,0.44630327820777893,0.046958837658166885,0.8127259016036987,0.02203463949263096,0.17156971991062164,0.37241116166114807,0.15147241950035095,0.657063901424408,0.7325243353843689,0.4938748776912689,0.4275367558002472,0.27073290944099426,0.09051227569580078,0.17926989495754242,0.05686480924487114,0.35806435346603394,0.1288086473941803,0.17912140488624573,0.1413978487253189,0.3042987883090973,0.030285833403468132,0.019577398896217346,0.4582034647464752,0.020485742017626762,0.052221767604351044,0.01974952220916748,0.2321651130914688,0.01936408504843712,0.005487761925905943,0.25744014978408813,0.4161790609359741
3,0.44063600897789,0.0,0.1205504909157753,0.2983981668949127,0.13643613457679749,2.8362343311309814,0.18037399649620056,0.04879305511713028,0.7685829997062683,0.03654266893863678,0.6014476418495178,0.07840893417596817,0.23236188292503357,0.06877768784761429,0.3882651627063751,0.0014682819601148367,0.2232782244682312,0.037568349391222,0.17233674228191376,0.05236392468214035,0.33685052394866943,0.2118648886680603,0.26099666953086853,0.7262898087501526,0.6647487878799438,0.32080358266830444,0.912118136882782,0.03441321849822998,0.1919383406639099,0.8590191602706909,0.0744815319776535,0.060557831078767776,0.06332355737686157,0.06709719449281693
4,0.19254295527935028,0.0,0.10034579783678055,0.0034599232021719217,0.06299612671136856,0.1572715789079666,0.03696504235267639,0.0299536045640707,0.44185009598731995,0.02215828374028206,0.07324470579624176,0.03219049423933029,0.05380887910723686,0.014679004438221455,0.2786014974117279,0.03562738373875618,0.010378190316259861,0.0006500339368358254,0.10790003836154938,0.011378868483006954,0.364551842212677,0.0006165541126392782,0.21408821642398834,0.018361708149313927,0.17824430763721466,0.0489126592874527,0.18146474659442902,0.03040369041264057,0.06518284231424332,0.0004148666048422456,0.06198637932538986,0.014898212626576424,0.011814571917057037,0.0028145834803581238
5,0.2519063949584961,0.0,0.08421694487333298,0.004169931635260582,0.05214456096291542,0.17873221635818481,0.015275158919394016,0.09456763416528702,0.21532374620437622,0.03372517600655556,0.0034284042194485664,0.019146978855133057,0.05782166123390198,0.020011812448501587,0.03414762765169144,0.061132658272981644,0.030308164656162262,0.001618180307559669,0.02136518992483616,0.008262229152023792,0.09491012245416641,0.005112823564559221,0.0013564821565523744,0.06301598250865936,0.036635756492614746,0.004113009665161371,0.08256127685308456,0.033152125775814056,0.005716766230762005,0.01176933478564024,0.06188473477959633,0.04744937643408775,0.006099516060203314,0.029049139469861984
6,0.35961443185806274,0.0,0.20897634327411652,0.0160822756588459,0.08348070830106735,0.06512845307588577,0.002874229568988085,0.3108409643173218,0.4369177520275116,0.04213011637330055,0.019308721646666527,0.1792866438627243,0.055775415152311325,0.06776547431945801,0.3648433983325958,0.013730168342590332,0.05381476506590843,0.01573817804455757,0.006764940917491913,0.0356038436293602,0.31295785307884216,0.21878421306610107,0.39753955602645874,0.021142007783055305,0.005679782014340162,0.20636674761772156,0.17954203486442566,0.034231383353471756,0.17882955074310303,0.01679476536810398,0.14430826902389526,0.17825284600257874,0.19419868290424347,0.0630413368344307
7,0.17489846050739288,0.0,0.2477329969406128,0.3281221389770508,0.03267110139131546,0.5165144801139832,0.023925798013806343,0.304036408662796,0.24916040897369385,0.2082059532403946,0.6306350827217102,0.49519801139831543,0.27750489115715027,0.2510138154029846,0.04885634407401085,0.041013170033693314,0.06491303443908691,0.024181896820664406,0.336744487285614,0.09528355300426483,0.12327598035335541,0.11734703928232193,0.2716752588748932,0.003901624120771885,0.025546960532665253,0.36912691593170166,0.252204030752182,0.04079800471663475,2.8195147024234757e-05,0.08033768087625504,0.010501759126782417,0.0017921064281836152,0.024350441992282867,0.17422957718372345
8,0.40149492025375366,0.0,0.7363038063049316,0.029132284224033356,0.36211246252059937,0.4118505120277405,0.09216208010911942,0.21186819672584534,0.38779520988464355,0.32911229133605957,0.25989338755607605,0.40279483795166016,0.12057710438966751,0.10948356986045837,0.06298515200614929,0.5843868255615234,0.03898771107196808,0.2493959367275238,0.017112264409661293,0.21224729716777802,0.0492948442697525,0.39988207817077637,0.14137908816337585,0.17986895143985748,0.4681245684623718,0.513903021812439,1.0499622821807861,0.00562167726457119,0.22139610350131989,0.5291566252708435,0.1257527470588684,0.04695761948823929,0.24611012637615204,0.7063616514205933
9,0.16073089838027954,0.0,0.10532959550619125,0.11361700296401978,0.040820445865392685,0.4091588854789734,0.0188117865473032,0.29035067558288574,0.21625983715057373,0.09005799144506454,0.25029483437538147,0.1563483029603958,0.1065712496638298,0.02281356044113636,0.24028746783733368,0.01754005067050457,0.04460619017481804,0.00467808498069644,0.052242279052734375,0.3675859272480011,0.0264144204556942,0.1373647302389145,0.022541115060448647,0.04959775507450104,0.03038841299712658,0.010541052557528019,0.11654023081064224,0.018481960520148277,0.004363983403891325,0.11569064110517502,0.010222229175269604,0.11354020982980728,0.07564020156860352,0.30710506439208984
