,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,model,explainer
0,0.24504840300127403,0.0,0.7249870874118035,0.5919256953084686,0.16432727597682395,0.3811478236464178,0.008881929969289073,0.12288631784957377,0.20976850251927434,0.06449767461065009,1.249815098288371,0.18701886016509667,0.11134082106813034,0.04018785566992621,lr,shap
1,0.1573570246375773,0.0,0.10141474972205838,0.3433970738019784,0.13030064017075982,0.2876763709506353,0.008881929969289073,0.12288631784957377,0.21338402680625854,0.08365295321069659,1.527551786796898,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
2,0.17776926210266483,0.0,0.29397440109305534,0.3433970738019784,0.05231089766110531,0.3811478236464178,0.008881929969289073,0.12288631784957377,0.21021724912195305,0.058313512087801195,1.249815098288371,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
3,0.07240758861993717,0.0,0.051028307613314186,1.1263958490858668,0.17588131190418016,0.4097644683948189,0.01649501280010828,0.12288631784957377,0.21338402680625854,0.058313512087801195,1.249815098288371,0.18701886016509667,0.11134082106813034,0.04018785566992621,lr,shap
4,0.1840147974464602,0.0,0.11746138733630813,0.3433970738019784,0.06900647957613507,0.25172581222148815,0.01649501280010828,0.12288631784957377,0.21338402680625854,0.058313512087801195,1.527551786796898,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
5,0.20823528816995956,0.0,0.2756812342128106,0.3433970738019784,0.0032062449698413513,0.29472268046154804,0.008881929969289073,0.5238837760955515,0.34893718550229147,0.08365295321069659,1.249815098288371,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
6,0.02152932508755495,0.0,0.6126606241120552,0.3433970738019784,0.12099964124923808,0.3811478236464178,0.008881929969289073,0.12288631784957377,0.2645799862052206,0.058313512087801195,1.249815098288371,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
7,0.22092946569799904,0.0,0.35591442228405934,0.3433970738019784,0.17588131190418016,0.3523873766631001,0.01649501280010828,0.5238837760955515,0.6407676382640827,0.28077434855616323,1.527551786796898,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
8,0.12816041632308653,0.0,0.02920488045793453,0.3433970738019784,0.08056051550349129,0.3308170414256119,0.008881929969289073,0.12288631784957377,0.3053280666373442,0.058313512087801195,1.527551786796898,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
9,0.08891001940638849,0.0,0.02920488045793453,0.3433970738019784,0.2198444186077706,0.3811478236464178,0.008881929969289073,0.5238837760955515,0.286564229799111,0.058313512087801195,1.527551786796898,0.17263279399855078,0.11134082106813034,0.04018785566992621,lr,shap
